,x,y_max,y_avg
0,0,1.0,1.010989010989011
1,1,1.0196078431372548,1.0427263479145474
2,2,1.0245098039215685,1.0330827067669173
3,3,1.0192771084337349,1.015709376534119
4,4,1.0216867469879518,1.0140758873929008
5,5,1.0083732057416268,1.0195046313298242
6,6,1.0223767765346234,1.0166981151216343
7,7,1.0093514328808446,1.0140875036092578
