iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
172,10,"[0.18229167 0.03125    0.19270833 0.01041667 0.23958333 0.03125
 0.28645833 0.02604167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.21061197916666669
173,10,"[0.16666667 0.046875   0.16666667 0.05729167 0.19791667 0.01041667
 0.32291667 0.03125   ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.24772135416666669
174,10,"[0.1875     0.046875   0.17708333 0.02604167 0.22916667 0.03645833
 0.27083333 0.02604167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.28645833333333337
175,10,"[0.09375    0.05208333 0.26041667 0.14583333 0.140625   0.03125
 0.25       0.02604167]","[0, 0, 1, 1, 1, 0, 1, 0]",4,0.22786458333333331
176,10,"[0.21875    0.03645833 0.24479167 0.02083333 0.13020833 0.02604167
 0.28125    0.04166667]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.21191406250000003
177,10,"[0.27083333 0.015625   0.296875   0.02083333 0.140625   0.015625
 0.1875     0.05208333]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.24641927083333331
178,10,"[0.35416667 0.03645833 0.21875    0.01041667 0.109375   0.04166667
 0.16666667 0.0625    ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.24088541666666669
179,10,"[0.22395833 0.03645833 0.234375   0.02083333 0.16666667 0.046875
 0.1875     0.08333333]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.21061197916666666
180,10,"[0.20833333 0.03645833 0.22395833 0.01041667 0.16666667 0.046875
 0.27083333 0.03645833]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.2672526041666667
181,10,"[0.22395833 0.05208333 0.1875     0.015625   0.17708333 0.
 0.296875   0.046875  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.34212239583333337
182,10,"[0.23958333 0.08333333 0.17708333 0.015625   0.21875    0.02083333
 0.21875    0.02604167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.21028645833333334
183,10,"[0.35416667 0.10416667 0.0625     0.03645833 0.26041667 0.05729167
 0.078125   0.046875  ]","[1, 0, 0, 0, 1, 0, 0, 0]",2,0.5205078125
184,10,"[0.22395833 0.09895833 0.05208333 0.046875   0.32291667 0.11458333
 0.03645833 0.10416667]","[1, 0, 0, 0, 1, 0, 0, 0]",2,0.5169270833333334
185,10,"[0.109375   0.078125   0.11458333 0.13541667 0.21875    0.13541667
 0.09375    0.11458333]","[0, 0, 0, 1, 1, 1, 0, 0]",3,0.529296875
186,10,"[0.046875   0.03125    0.05208333 0.046875   0.27083333 0.28645833
 0.15104167 0.11458333]","[0, 0, 0, 0, 1, 1, 1, 0]",3,0.5439453125
187,10,"[0.05729167 0.02604167 0.15104167 0.05208333 0.19270833 0.09895833
 0.13020833 0.29166667]","[0, 0, 1, 0, 1, 0, 1, 1]",4,0.49283854166666663
188,10,"[0.078125   0.05729167 0.27083333 0.06770833 0.21354167 0.05208333
 0.13020833 0.13020833]","[0, 0, 1, 0, 1, 0, 1, 1]",4,0.4482421875000001
189,10,"[0.125      0.09895833 0.13020833 0.08333333 0.18229167 0.0625
 0.19791667 0.11979167]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.45703125
190,10,"[0.171875   0.015625   0.09895833 0.03125    0.21354167 0.0625
 0.375      0.03125   ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.37239583333333326
191,10,"[0.16145833 0.08854167 0.3125     0.09375    0.15625    0.03125
 0.11458333 0.04166667]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.6695963541666667
192,10,"[0.14583333 0.08333333 0.30729167 0.02604167 0.33854167 0.015625
 0.03645833 0.046875  ]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.6145833333333335
193,10,"[0.28645833 0.13020833 0.22916667 0.015625   0.21354167 0.05208333
 0.046875   0.02604167]","[1, 1, 1, 0, 1, 0, 0, 0]",4,0.408203125
194,10,"[0.14583333 0.17708333 0.0625     0.05208333 0.1875     0.22916667
 0.078125   0.06770833]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.4228515625
195,10,"[0.22395833 0.05729167 0.08333333 0.03125    0.19270833 0.23958333
 0.14583333 0.02604167]","[1, 0, 0, 0, 1, 1, 1, 0]",4,0.3658854166666667
196,10,"[0.21354167 0.07291667 0.19791667 0.0625     0.10416667 0.15104167
 0.13020833 0.06770833]","[1, 0, 1, 0, 0, 1, 1, 0]",4,0.45670572916666663
