iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
0,5,"[0.15625    0.11458333 0.19791667 0.3125     0.046875   0.078125
 0.03125    0.0625    ]","[1, 0, 1, 1, 0, 0, 0, 0]",3,0.53515625
1,8,"[0.15104167 0.109375   0.10416667 0.05729167 0.14583333 0.109375
 0.140625   0.18229167]","[1, 0, 0, 0, 1, 0, 1, 1]",4,0.5237630208333333
2,8,"[0.09375    0.17708333 0.125      0.18229167 0.125      0.04166667
 0.15104167 0.10416667]","[0, 1, 0, 1, 0, 0, 1, 0]",3,0.4134114583333333
3,8,"[0.25520833 0.0625     0.07291667 0.15104167 0.05729167 0.125
 0.13020833 0.14583333]","[1, 0, 0, 1, 0, 0, 1, 1]",4,0.42773437500000006
4,8,"[0.45833333 0.04166667 0.046875   0.02604167 0.06770833 0.20833333
 0.05208333 0.09895833]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.5651041666666667
5,8,"[0.17708333 0.04166667 0.04166667 0.03645833 0.09375    0.33333333
 0.08333333 0.19270833]","[1, 0, 0, 0, 0, 1, 0, 1]",3,0.45572916666666674
6,8,"[0.171875   0.078125   0.05729167 0.05729167 0.3125     0.234375
 0.04166667 0.046875  ]","[1, 0, 0, 0, 1, 1, 0, 0]",3,0.48079427083333337
7,8,"[0.171875   0.22395833 0.10416667 0.15104167 0.23958333 0.015625
 0.02604167 0.06770833]","[1, 1, 0, 1, 1, 0, 0, 0]",4,0.5462239583333334
8,8,"[0.18229167 0.22395833 0.04166667 0.125      0.19791667 0.11979167
 0.04166667 0.06770833]","[1, 1, 0, 0, 1, 0, 0, 0]",3,0.419921875
9,8,"[0.1875     0.13541667 0.08333333 0.13541667 0.1875     0.11979167
 0.0625     0.08854167]","[1, 1, 0, 1, 1, 0, 0, 0]",4,0.3844401041666667
10,8,"[0.171875   0.15625    0.08333333 0.13541667 0.125      0.14583333
 0.0625     0.11979167]","[1, 1, 0, 1, 0, 1, 0, 0]",4,0.48470052083333326
11,8,"[0.21354167 0.04166667 0.25       0.05729167 0.10416667 0.078125
 0.125      0.13020833]","[1, 0, 1, 0, 0, 0, 0, 1]",3,0.38541666666666663
12,9,"[0.21875    0.10416667 0.234375   0.05208333 0.04166667 0.05729167
 0.19270833 0.09895833]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.3203125
13,9,"[0.21354167 0.07291667 0.10416667 0.07291667 0.1875     0.125
 0.16145833 0.0625    ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.3089192708333333
14,9,"[0.18229167 0.078125   0.08333333 0.0625     0.07291667 0.234375
 0.265625   0.02083333]","[1, 0, 0, 0, 0, 1, 1, 0]",3,0.43880208333333337
15,9,"[0.21354167 0.02083333 0.13541667 0.078125   0.07291667 0.13020833
 0.28125    0.06770833]","[1, 0, 1, 0, 0, 1, 1, 0]",4,0.4554036458333333
16,9,"[0.23958333 0.05208333 0.234375   0.11458333 0.04166667 0.046875
 0.203125   0.06770833]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.30696614583333337
17,9,"[0.265625   0.02604167 0.21354167 0.09895833 0.11979167 0.05729167
 0.08333333 0.13541667]","[1, 0, 1, 0, 0, 0, 0, 1]",3,0.3948567708333333
18,9,"[0.20833333 0.02083333 0.17708333 0.03645833 0.15625    0.15104167
 0.08333333 0.16666667]","[1, 0, 1, 0, 1, 1, 0, 1]",5,0.6083984374999999
19,9,"[0.17708333 0.02083333 0.22916667 0.02604167 0.07291667 0.16666667
 0.09375    0.21354167]","[1, 0, 1, 0, 0, 1, 0, 1]",4,0.45214843749999994
20,9,"[0.0625     0.07291667 0.09895833 0.03645833 0.109375   0.35416667
 0.09375    0.171875  ]","[0, 0, 0, 0, 0, 1, 0, 1]",2,0.5032552083333334
21,9,"[0.0625     0.0625     0.08333333 0.109375   0.265625   0.28125
 0.03125    0.10416667]","[0, 0, 0, 0, 1, 1, 0, 0]",2,0.7210286458333333
22,9,"[0.14583333 0.02604167 0.24479167 0.11979167 0.09375    0.14583333
 0.171875   0.05208333]","[1, 0, 1, 0, 0, 1, 1, 0]",4,0.36295572916666663
23,10,"[0.32291667 0.06770833 0.15104167 0.03645833 0.171875   0.015625
 0.20833333 0.02604167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.22981770833333337
24,10,"[0.09895833 0.05729167 0.171875   0.13541667 0.18229167 0.01041667
 0.30208333 0.04166667]","[0, 0, 1, 1, 1, 0, 1, 0]",4,0.34375000000000006
25,10,"[0.05208333 0.04166667 0.23958333 0.09895833 0.13541667 0.02083333
 0.33854167 0.07291667]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.40169270833333337
26,10,"[0.05729167 0.0625     0.27083333 0.078125   0.10416667 0.046875
 0.24479167 0.13541667]","[0, 0, 1, 0, 0, 0, 1, 1]",3,0.3811848958333333
27,10,"[0.09375    0.14583333 0.20833333 0.18229167 0.06770833 0.03645833
 0.11458333 0.15104167]","[0, 1, 1, 1, 0, 0, 0, 1]",4,0.4423828125
28,10,"[0.109375   0.09895833 0.10416667 0.13020833 0.0625     0.22916667
 0.09375    0.171875  ]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.5677083333333334
29,10,"[0.109375   0.05208333 0.046875   0.16145833 0.078125   0.3125
 0.05729167 0.18229167]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.49739583333333326
30,10,"[0.21354167 0.0625     0.09895833 0.11458333 0.11458333 0.27604167
 0.04166667 0.078125  ]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.5364583333333333
31,10,"[0.27604167 0.0625     0.08854167 0.09375    0.078125   0.33333333
 0.03645833 0.03125   ]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.4456380208333333
32,10,"[0.26041667 0.16145833 0.11979167 0.08333333 0.04166667 0.19791667
 0.04166667 0.09375   ]","[1, 1, 0, 0, 0, 1, 0, 0]",3,0.45377604166666674
33,10,"[0.30729167 0.234375   0.04166667 0.02083333 0.04166667 0.20833333
 0.06770833 0.078125  ]","[1, 1, 0, 0, 0, 1, 0, 0]",3,0.427734375
34,10,"[0.27083333 0.203125   0.125      0.09895833 0.02083333 0.21354167
 0.02604167 0.04166667]","[1, 1, 0, 0, 0, 1, 0, 0]",3,0.5390625
35,10,"[0.1875     0.15625    0.17708333 0.09375    0.07291667 0.26041667
 0.04166667 0.01041667]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.45377604166666663
36,10,"[0.203125   0.15625    0.08333333 0.046875   0.140625   0.25520833
 0.04166667 0.07291667]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.3818359375
37,10,"[0.26041667 0.09375    0.07291667 0.04166667 0.11979167 0.28645833
 0.09895833 0.02604167]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.46940104166666674
38,10,"[0.21354167 0.15625    0.046875   0.03645833 0.20833333 0.203125
 0.09375    0.04166667]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.3805338541666667
39,10,"[0.109375   0.13020833 0.046875   0.11458333 0.21875    0.19791667
 0.13020833 0.05208333]","[0, 1, 0, 0, 1, 1, 1, 0]",4,0.4514973958333334
40,10,"[0.05208333 0.0625     0.078125   0.22916667 0.25       0.13541667
 0.13541667 0.05729167]","[0, 0, 0, 1, 1, 1, 1, 0]",4,0.5397135416666667
41,10,"[0.05208333 0.03125    0.10416667 0.18229167 0.16666667 0.046875
 0.35416667 0.0625    ]","[0, 0, 0, 1, 1, 0, 1, 0]",3,0.45345052083333326
42,10,"[0.15104167 0.109375   0.04166667 0.20833333 0.03645833 0.23958333
 0.14583333 0.06770833]","[1, 0, 0, 1, 0, 1, 1, 0]",4,0.4583333333333333
43,10,"[0.25       0.06770833 0.02604167 0.11458333 0.02604167 0.3125
 0.078125   0.125     ]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.49381510416666663
44,10,"[0.234375   0.16666667 0.09375    0.05208333 0.04166667 0.21354167
 0.078125   0.11979167]","[1, 1, 0, 0, 0, 1, 0, 0]",3,0.41861979166666663
45,10,"[0.28645833 0.19791667 0.1875     0.02083333 0.03645833 0.15104167
 0.02083333 0.09895833]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.36328125
46,10,"[0.3125     0.140625   0.234375   0.03645833 0.11458333 0.07291667
 0.07291667 0.015625  ]","[1, 1, 1, 0, 0, 0, 0, 0]",3,0.3766276041666667
47,10,"[0.171875   0.06770833 0.140625   0.03125    0.296875   0.046875
 0.18229167 0.0625    ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.205078125
48,10,"[0.140625   0.06770833 0.11979167 0.03125    0.28125    0.03125
 0.23958333 0.08854167]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.24153645833333334
49,10,"[0.06770833 0.11458333 0.14583333 0.109375   0.25       0.13020833
 0.13020833 0.05208333]","[0, 0, 1, 0, 1, 1, 1, 0]",4,0.3359375
50,10,"[0.109375   0.109375   0.234375   0.046875   0.18229167 0.109375
 0.171875   0.03645833]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.5065104166666666
51,10,"[0.13020833 0.05729167 0.28125    0.015625   0.25       0.04166667
 0.1875     0.03645833]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.2639973958333333
52,10,"[0.23958333 0.05729167 0.25520833 0.015625   0.14583333 0.04166667
 0.22916667 0.015625  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.39322916666666674
53,10,"[0.21875    0.01041667 0.16666667 0.09895833 0.20833333 0.06770833
 0.18229167 0.046875  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.25390625
54,10,"[0.203125   0.04166667 0.109375   0.109375   0.16145833 0.08333333
 0.21354167 0.078125  ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.26725260416666663
55,10,"[0.13020833 0.01041667 0.125      0.03125    0.25520833 0.05729167
 0.28125    0.109375  ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.2991536458333333
56,10,"[0.20833333 0.015625   0.078125   0.015625   0.25520833 0.07291667
 0.234375   0.11979167]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.29752604166666663
57,10,"[0.34895833 0.02604167 0.18229167 0.04166667 0.19270833 0.04166667
 0.109375   0.05729167]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.3720703125
58,10,"[0.20833333 0.046875   0.29166667 0.06770833 0.078125   0.02083333
 0.22395833 0.0625    ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.318359375
59,10,"[0.17708333 0.02604167 0.27083333 0.05208333 0.09895833 0.046875
 0.25       0.078125  ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.2819010416666667
60,10,"[0.19270833 0.046875   0.17708333 0.06770833 0.16145833 0.03125
 0.27083333 0.05208333]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.2506510416666667
61,10,"[0.328125   0.05729167 0.24479167 0.05208333 0.09895833 0.03125
 0.15104167 0.03645833]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.36458333333333337
62,10,"[0.328125   0.05729167 0.265625   0.03125    0.15104167 0.015625
 0.11458333 0.03645833]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.2705078125
63,10,"[0.09895833 0.03645833 0.16666667 0.02604167 0.27604167 0.02604167
 0.33333333 0.03645833]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.44205729166666674
64,10,"[0.09375    0.02604167 0.19270833 0.04166667 0.38020833 0.03125
 0.20833333 0.02604167]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.5504557291666666
65,10,"[0.109375   0.         0.20833333 0.02604167 0.3125     0.02083333
 0.30208333 0.02083333]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.4140625
