iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
191,10,"[0.11979167 0.015625   0.26041667 0.046875   0.22395833 0.
 0.328125   0.00520833]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.4316406250000001
192,10,"[0.13020833 0.015625   0.28645833 0.04166667 0.09895833 0.00520833
 0.38541667 0.03645833]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.1982421875
193,10,"[0.24479167 0.015625   0.23958333 0.046875   0.08854167 0.05208333
 0.28645833 0.02604167]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.24674479166666666
194,10,"[0.19791667 0.046875   0.15104167 0.03645833 0.14583333 0.08854167
 0.28645833 0.046875  ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.3271484375
195,10,"[0.234375   0.03125    0.16666667 0.02604167 0.18229167 0.08333333
 0.25520833 0.02083333]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.3017578125
196,10,"[0.30208333 0.05729167 0.11458333 0.04166667 0.14583333 0.05729167
 0.24479167 0.03645833]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.24609375
197,10,"[0.22395833 0.03645833 0.11458333 0.015625   0.30208333 0.015625
 0.26041667 0.03125   ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.205078125
198,10,"[0.28125    0.078125   0.11979167 0.015625   0.32291667 0.015625
 0.15104167 0.015625  ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.26953125
199,10,"[0.10416667 0.04166667 0.21354167 0.046875   0.18229167 0.02083333
 0.36458333 0.02604167]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.3196614583333333
200,10,"[0.20833333 0.05208333 0.22916667 0.046875   0.05208333 0.13020833
 0.27083333 0.01041667]","[1, 0, 1, 0, 0, 1, 1, 0]",4,0.28548177083333337
201,10,"[0.375      0.10416667 0.23958333 0.02083333 0.08333333 0.078125
 0.046875   0.05208333]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.5335286458333334
202,10,"[0.140625   0.13020833 0.19270833 0.05208333 0.08854167 0.203125
 0.078125   0.11458333]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.4967447916666667
203,10,"[0.0625     0.234375   0.07291667 0.09375    0.203125   0.14583333
 0.08854167 0.09895833]","[0, 1, 0, 0, 1, 1, 0, 0]",3,0.41243489583333337
204,10,"[0.203125   0.21875    0.03645833 0.11458333 0.21875    0.15104167
 0.02604167 0.03125   ]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.42708333333333337
205,10,"[0.21875    0.19270833 0.08854167 0.10416667 0.15104167 0.03645833
 0.125      0.08333333]","[1, 1, 0, 0, 1, 0, 0, 0]",3,0.3938802083333333
206,10,"[0.20833333 0.09375    0.16666667 0.078125   0.11458333 0.02083333
 0.20833333 0.109375  ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.24934895833333334
207,10,"[0.21354167 0.046875   0.28645833 0.03125    0.08333333 0.015625
 0.24479167 0.078125  ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.3779296875
208,10,"[0.08854167 0.05208333 0.375      0.05729167 0.08854167 0.0625
 0.20833333 0.06770833]","[0, 0, 1, 0, 0, 0, 1, 0]",2,0.39029947916666674
209,10,"[0.22395833 0.046875   0.33333333 0.03645833 0.04166667 0.03645833
 0.171875   0.109375  ]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.505859375
210,10,"[0.203125   0.06770833 0.29166667 0.140625   0.03645833 0.02083333
 0.08333333 0.15625   ]","[1, 0, 1, 1, 0, 0, 0, 1]",4,0.5432942708333334
211,10,"[0.19270833 0.171875   0.25520833 0.1875     0.0625     0.05729167
 0.03125    0.04166667]","[1, 1, 1, 1, 0, 0, 0, 0]",4,0.5393880208333334
212,10,"[0.19791667 0.234375   0.23958333 0.11979167 0.03125    0.0625
 0.03645833 0.078125  ]","[1, 1, 1, 0, 0, 0, 0, 0]",3,0.48046875
213,10,"[0.10416667 0.35416667 0.10416667 0.10416667 0.02083333 0.234375
 0.05729167 0.02083333]","[0, 1, 0, 0, 0, 1, 0, 0]",2,0.4290364583333333
214,10,"[0.02604167 0.36458333 0.078125   0.09895833 0.015625   0.3125
 0.05208333 0.05208333]","[0, 1, 0, 0, 0, 1, 0, 0]",2,0.58203125
215,10,"[0.08854167 0.22395833 0.03645833 0.078125   0.02604167 0.22395833
 0.11979167 0.203125  ]","[0, 1, 0, 0, 0, 1, 0, 1]",3,0.2900390625
216,10,"[0.07291667 0.15625    0.05208333 0.21354167 0.05208333 0.17708333
 0.05208333 0.22395833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.26171875
217,10,"[0.02083333 0.13020833 0.04166667 0.3125     0.02604167 0.19791667
 0.02604167 0.24479167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.33365885416666663
218,10,"[0.03645833 0.21875    0.046875   0.17708333 0.0625     0.22395833
 0.015625   0.21875   ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23307291666666663
219,10,"[0.046875   0.16145833 0.03125    0.23958333 0.07291667 0.26041667
 0.01041667 0.17708333]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.28906250000000006
220,10,"[0.02083333 0.296875   0.03125    0.25520833 0.05729167 0.19270833
 0.06770833 0.078125  ]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.33723958333333337
221,10,"[0.04166667 0.17708333 0.03125    0.328125   0.0625     0.171875
 0.08333333 0.10416667]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.42708333333333337
222,10,"[0.02604167 0.1875     0.03645833 0.18229167 0.08333333 0.24479167
 0.05729167 0.18229167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2721354166666667
223,10,"[0.09375    0.19791667 0.046875   0.18229167 0.078125   0.24479167
 0.015625   0.140625  ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.3063151041666667
224,10,"[0.0625     0.19270833 0.03125    0.09375    0.11458333 0.3125
 0.015625   0.17708333]","[0, 1, 0, 0, 0, 1, 0, 1]",3,0.35384114583333337
